ticker,name,raw_composite,sector,industry,cap_bucket,price,ret_5d,ret_1m,ret_3m,ret_6m,ret_12m,asof_date
CELC,Celcuity Inc.,95.1000,Healthcare,Biotechnology,Mid,104.5100,-0.0314,-0.0073,0.2152,1.0180,7.2813,2026-02-13
ACMR,"ACM Research, Inc.",94.4000,Technology,Semiconductor Equipment & Materials,Mid,64.8400,0.0351,0.2423,0.9865,1.5915,1.7948,2026-02-13
DK,"Delek US Holdings, Inc.",92.3000,Energy,Oil & Gas Refining & Marketing,Mid,34.4600,-0.0157,0.1879,-0.1245,0.5934,1.0807,2026-02-13
AGX,"Argan, Inc.",92.0000,Industrials,Engineering & Construction,Mid,409.9500,0.1080,0.2451,0.2249,0.8360,1.7891,2026-02-13
AVAV,"AeroVironment, Inc.",91.9000,Industrials,Aerospace & Defense,Large,243.8700,-0.1111,-0.3558,-0.1747,-0.0113,0.5115,2026-02-13
BTU,Peabody Energy Corporation,91.7000,Energy,Thermal Coal,Mid,34.4500,-0.0893,-0.0446,0.1851,0.9667,1.0480,2026-02-13
DAVE,Dave Inc.,90.9000,Technology,Software - Application,Mid,177.2800,-0.0429,-0.0770,-0.1802,-0.1197,0.6128,2026-02-13
CENX,Century Aluminum Company,90.9000,Basic Materials,Aluminum,Mid,46.0400,-0.1531,-0.0505,0.5854,0.9794,1.1524,2026-02-13
AU,AngloGold Ashanti PLC,90.5000,Basic Materials,Gold,Large,109.8200,0.0245,0.1144,0.3749,1.0733,2.4709,2026-02-13
COGT,"Cogent Biosciences, Inc.",90.3000,Healthcare,Biotechnology,Mid,36.5300,-0.0374,-0.0693,0.0798,2.0723,3.4658,2026-02-13
GRAL,"GRAIL, Inc.",90.3000,Healthcare,Diagnostics & Research,Mid,97.5000,-0.0289,0.0006,0.1719,2.0065,0.8543,2026-02-13
CELH,"Celsius Holdings, Inc.",90.1000,Consumer Defensive,Beverages - Non-Alcoholic,Large,44.6800,-0.0653,-0.1653,0.0152,-0.2202,0.9718,2026-02-13
AMD,"Advanced Micro Devices, Inc.",89.9000,Technology,Semiconductors,Mega,207.3200,-0.0402,-0.0904,-0.1639,0.1679,0.8542,2026-02-13
AEO,"American Eagle Outfitters, Inc.",89.8000,Consumer Cyclical,Apparel Retail,Mid,25.4800,0.0815,-0.0128,0.4593,0.9868,0.8464,2026-02-13
